city,timestamp,pm2_5,pm10,no2,so2,o3,co,temp_c,humidity,windspeed_kph,pressure_mb
Delhi,1772413200,66.79,107.93,9.34,1.66,34.81,405.91,31.13,12,10.296,1007
Delhi,1772416800,67.88,111.15,12.56,2.22,29.07,445.33,31.13,12,10.296,1007
Delhi,1772420400,68.63,114.42,14.35,2.76,29.55,490.9,31.13,12,10.296,1007
Delhi,1772424000,67.47,116.62,12.19,3.51,44.48,490.18,31.13,12,10.296,1007
Delhi,1772427600,65.88,116.4,10.62,3.95,56.28,488.22,31.13,12,10.296,1007
Delhi,1772431200,67.53,120.23,9.01,4.32,78.37,478.14,31.13,12,10.296,1007
Delhi,1772434800,53.3,125.01,1.61,5.4,140.43,232.58,31.13,12,10.296,1007
Delhi,1772438400,49.72,124.22,0.92,4.33,141.07,197.43,31.13,12,10.296,1007
Delhi,1772442000,48.48,122.03,0.93,3.89,140.26,190.37,31.13,12,10.296,1007
Delhi,1772445600,49.52,121.61,1.89,3.73,134.27,201.53,31.13,12,10.296,1007
Delhi,1772449200,51.37,121.31,4.05,3.67,122.16,227.04,31.13,12,10.296,1007
Delhi,1772452800,52.62,121.18,7.38,3.65,108.75,257.91,31.13,12,10.296,1007
Delhi,1772456400,54.12,119.59,12.23,3.71,87.31,306.99,31.13,12,10.296,1007
Delhi,1772460000,56.97,119.83,16.2,3.92,66.28,375.01,31.13,12,10.296,1007
Delhi,1772463600,59.92,121.6,18.64,4.08,52.97,436.47,31.13,12,10.296,1007
Delhi,1772467200,61.61,121.34,19.72,3.97,43.42,478.98,31.13,12,10.296,1007
Delhi,1772470800,64.03,122.94,20.52,3.68,36.07,520.49,31.13,12,10.296,1007
Delhi,1772474400,65.6,123.46,20.42,3.06,29.95,539.88,31.13,12,10.296,1007
Delhi,1772478000,65.0,120.91,18.51,2.27,26.27,522.89,31.13,12,10.296,1007
Delhi,1772481600,65.07,119.95,16.07,1.83,25.8,503.73,31.13,12,10.296,1007
Delhi,1772485200,65.69,119.61,13.93,1.57,26.7,485.67,31.13,12,10.296,1007
Delhi,1772488800,66.21,119.4,12.22,1.4,28.24,466.47,31.13,12,10.296,1007
Delhi,1772492400,66.71,119.83,10.92,1.3,30.09,451.06,31.13,12,10.296,1007
Delhi,1772496000,67.2,120.22,10.16,1.31,32.31,438.19,31.13,12,10.296,1007
Delhi,1772499600,65.79,114.98,8.77,1.74,42.51,382.0,31.13,12,10.296,1007
Delhi,1772503200,66.08,114.34,11.24,2.44,42.2,403.63,31.13,12,10.296,1007
Delhi,1772506800,66.05,114.74,12.44,3.31,46.83,424.15,31.13,12,10.296,1007
Delhi,1772510400,64.83,115.04,10.26,4.27,60.99,411.25,31.13,12,10.296,1007
Delhi,1772514000,62.6,113.73,8.5,4.82,74.11,396.56,31.13,12,10.296,1007
Delhi,1772517600,62.51,116.57,5.88,5.44,100.55,355.07,31.13,12,10.296,1007
Delhi,1772521200,51.44,106.61,1.56,5.23,144.4,226.71,31.13,12,10.296,1007
Delhi,1772524800,48.14,100.07,1.14,4.18,146.98,204.48,31.13,12,10.296,1007
Delhi,1772528400,48.1,99.43,1.2,3.86,147.51,200.95,31.13,12,10.296,1007
Delhi,1772532000,50.07,100.76,2.52,3.74,138.41,217.77,31.13,12,10.296,1007
Delhi,1772535600,52.21,101.85,5.5,3.62,120.56,252.63,31.13,12,10.296,1007
Delhi,1772539200,53.36,102.75,10.0,3.59,103.04,293.32,31.13,12,10.296,1007
Delhi,1772542800,54.81,104.1,15.75,3.67,81.14,350.48,31.13,12,10.296,1007
Delhi,1772546400,57.67,106.93,19.77,3.88,60.39,425.3,31.13,12,10.296,1007
Delhi,1772550000,60.46,109.92,22.0,4.07,47.5,487.7,31.13,12,10.296,1007
Delhi,1772553600,61.25,109.64,22.55,3.97,39.2,520.74,31.13,12,10.296,1007
Delhi,1772557200,62.84,111.21,22.96,3.67,32.99,553.34,31.13,12,10.296,1007
Delhi,1772560800,63.31,111.34,22.87,3.03,28.34,564.92,31.13,12,10.296,1007
Delhi,1772564400,61.4,107.98,20.66,2.26,26.58,536.98,31.13,12,10.296,1007
Delhi,1772568000,59.71,105.8,17.63,1.89,27.73,505.03,31.13,12,10.296,1007
Delhi,1772571600,58.35,104.47,14.8,1.72,30.76,472.3,31.13,12,10.296,1007
Delhi,1772575200,56.48,103.63,12.22,1.63,35.96,434.73,31.13,12,10.296,1007
Delhi,1772578800,54.36,103.45,10.15,1.57,41.67,400.08,31.13,12,10.296,1007
Delhi,1772582400,52.21,104.23,8.78,1.57,47.67,368.92,31.13,12,10.296,1007
Delhi,1772586000,50.68,106.71,8.73,1.76,52.3,350.53,31.13,12,10.296,1007
Delhi,1772589600,50.0,111.56,11.1,2.22,52.03,365.57,31.13,12,10.296,1007
Delhi,1772593200,49.65,118.18,12.83,2.59,53.17,387.9,31.13,12,10.296,1007
Delhi,1772596800,49.46,125.69,11.11,2.84,60.56,388.63,31.13,12,10.296,1007
Delhi,1772600400,50.5,132.19,9.47,3.03,67.87,386.63,31.13,12,10.296,1007
Delhi,1772604000,54.59,147.98,7.06,3.26,89.28,357.31,31.13,12,10.296,1007
Delhi,1772607600,53.25,174.47,1.97,4.61,136.85,216.21,31.13,12,10.296,1007
Delhi,1772611200,50.15,157.76,1.33,4.62,142.39,190.06,31.13,12,10.296,1007
Delhi,1772614800,47.3,140.55,1.31,4.29,143.41,183.1,31.13,12,10.296,1007
Delhi,1772618400,46.1,127.33,2.32,3.9,136.91,194.96,31.13,12,10.296,1007
Delhi,1772622000,45.86,117.92,4.56,3.57,122.58,221.65,31.13,12,10.296,1007
Delhi,1772625600,45.63,111.98,8.11,3.38,107.33,254.49,31.13,12,10.296,1007
Delhi,1772629200,45.83,107.66,12.54,3.34,88.41,297.02,31.13,12,10.296,1007
Delhi,1772632800,47.01,105.28,15.06,3.46,72.92,344.72,31.13,12,10.296,1007
Delhi,1772636400,48.11,104.02,16.31,3.55,64.13,380.65,31.13,12,10.296,1007
Delhi,1772640000,47.98,101.33,16.28,3.47,58.3,395.73,31.13,12,10.296,1007
Delhi,1772643600,48.28,101.1,15.95,3.32,55.59,404.76,31.13,12,10.296,1007
Delhi,1772647200,48.11,101.18,15.07,2.96,55.22,397.26,31.13,12,10.296,1007
Delhi,1772650800,46.99,100.5,13.0,2.46,56.87,367.13,31.13,12,10.296,1007
Delhi,1772654400,46.43,102.19,10.51,2.18,60.1,337.91,31.13,12,10.296,1007
